

Cuijiatou 8020
Liulin (Baoji) 28545

Panlong (Baoji) 37902

Baoji 823439

Chencang 49100
Chencun 24328
Rencun 5898
Chinan 11276
Dachi 5047
Yongle (Hanzhong) 5756
Dahe (Hanzhong) 4716
Qingshui (Hanzhong) 7183
Xinglong (Hanzhong) 11840
Jieguanting 14734
Ganhe 27354
Xianhe 21619

Shuhe 37059
Shuanghe 26171
Shuanghekou 12995
Tiefosi 9097
Tiewang 15202
Shiliyuan 29592
Qingyuan 10087

Tuqiao 44575
Luqiao 24871
Qiaodi 28920
Shiqiao 14503
Siqian 31553
Jiaodao 18283
Jiaodai 20902
Qianwei 26579
Tianwang 31365

Diaowei 38486
Miaowan 28032
Yaoqu 20895
Xiaoqiu 27467
Gaoqiao (Ankang) 18493
Nanyang 20880
Sunjiacha 19583
Yangqiaopan 10749
Wangqiao 24982
Jinshui 8889
Lianshui 14462
Xieshui 16676
Huishui 7119
Liushui 11744
Hongshan 21378
Zhongshanjian 6535
Zhouwan 5893
Zhouhe 9476
Shunning 8860
Yongning 9533
Chongning 27258
Yangguo 28923
Guo 11337
Jinjiahe 5424
Zhangjiahe 5338
Yangjiahe 4513
Ping'an 8796
Huang'an 15306
Shuang'an 10823
Huangu 9907
Manchuanguan 17098
Faguan 17328

Xiagui 43222
Dagui 11294
Sanyang 11318
Sanyao 14027
Lingkou 28308
Yuling 15797
Zhulinguan 22202
Tumen 13293
Yinhua 14999
Guanyinhe 7292

Chengguan (Hanyin) 66926

Chengguan (Shiquan) 53422
Chengguan (Ningshan) 20515
Bashan (Ningqiang) 9804

Lingqian 43935
Meijiaping 30232
Xujiaping 12496
Matiwan 4982
Baishuijiang 10054
Daijiaba 26995
Shujiaba 7576
Hujiaba 15232
Tiesuoguan 14818

Jinsuoguan 40670
Tai'an 10201
Qinghua (Xi'an) 21204

Yabai 45591
Baibao 12921
Changguanmiao 4614
Miaogou (Yan'an) 5957
Xin'anbian 6283
Anbian 16158
Tiebiancheng 5879
Fanxue 4368
Xue 36699

Meiyuan 47520
Beiyuan 15130
Leiya 11324
Leichi 4978
Yunyan 17672

Yunyang 54539
Anwu 36465
Yunwushan 8676
Yushan 23314
Jiujianfang 13915
Lanqiao 8991
Qiaonan 21267
Gaotang 25467
Gaotan 28149
Gaotai 21101
Jinquan 13363
Wenquan 16128
Jinqu 33058
Huaiya 21487
Taiyao 25632
Baiyusi 6560
Baiyangdian 18658
Yangdi 21081
Hujiayuan 27167
Koujiayuan 7665
Zhangjiayuan 8898
Caobi 5938
Caojiawan 15835
Tiancheng 12641

Hancheng 164366
Sancha 7795
Huaibai 17638
Shibao 21028
Shiguan 14674
Xigu 16725
Shigu 23871
Xiashi 16745
Dujiashigou 9966
Matigou 13895
Nangoucha 8400
Jianyucha 10857
Lijiacha 11381
Macha 15128
Machang 15552
Yuangong 18859
Shangyuanguan 29395
Sangyuan 9605
Shahe 25100
Shahezi 27381
Xichahe 3266
Shidunhe 1658
Chenjiaba 3365
Zhenjing 8260
Ximawan 10177
Tawan 8634
Shiwan 12942
Tianciwan 6198
Xiaohe (Yulin) 5905
Gucheng (Yulin) 5693
Qingshui (Yulin) 5279
Gushan 9630
Tianzhushan 11770
Tianzhuang 10592
Guanzhuang 33041
Luanzhuang 21044
Tieyupu 16116
Jieyuan 33179
Guanyuan 6590
Sanyuan 14256
Guanyin 10785
Xiaoyang 9231
Xiangyang 12708

Guangyang 39841
Wangyan 11330
Dian 11330

Gaobadian 38703
Zhongcun 21522
Siping 8652
Yanping 5851
Nankuanping 17112
Beikuanping 14386
Sunping 7574

Sun 52193
Sunyuan 18791
Dongjiahe 11502
Shizhu 26065

Xizhuang 39605
Xizhaochuan 11081
Zhaochuan 17480
Shiliping 11487
Liping 6502
Erlangba 6837
Erli 17422
Erlintu 10600
Jinjie 25561
Jinjitan 13672
Niujialiang 17352
Xialiang 20273
Xiaoling 11412
Xiaohe 24306
Yaohe 29098
Yaosheng 11848
Yaoshi 20144

Yaoshan 48048

Tangyu 39919
Fengyuan 28093

Wugong 43512

Zhouyuan 43025
Hou 14537
Majie 14537

Dajing 38353
Jingdang 31687

Famen 70852
Qinghua (Baoji) 26637
Duanjia (Baoji) 24111
Xinglin (Baoji) 24866
Wuquan 19010
Kuquan 4579
Sidu 8111
Xiaozhai 18249
Fanjiazhai 16325
Banyan 23458
Yancun 18307
Pucun 24236
Sucun 26916
Xiazhai 17231
Jiaoxie 24668
Taoxia 26011
Xiamiao 21895
Daming 20737
Wamiao 11814

Guanmiao 42200
Guanjia 15743
Duanjiahe 16292
Bahe 8437
Shenhe 18384
Chenhe 3332
Luoyu 5393
Luoyuan 16672
Bayuan 16227
Bayu 26601

Maying 56854

Huayin 80665
Luofu 28794
Maping (Shangluo) 15763
Shimen (Shangluo) 25742
Xunjian 8092
Fanjia 27647

Fang 41113

Bailiang 40398
Bailiu 14484
Miliang 18795
Maoping Huizu 7991
Xikou Huizu 10842
Gaofeng 17707
Fenghuang 17850
Fenghuo 26624
Xuwang 13038
Beiba 11102
Beiji 20648
Yongle (Xianyang) 17451
Dimiao 18212
Baimianxia 5963
Huangjinxia 9788
Guanxi 16285
Yanxia 27711
Ganxi 16106
Zhuanmiao 5617
Sanguanmiao 29111
Sanzhang 26809
Guandao 26884

Daoxian 43536
Laoxian 14150
Xihe 8386
Chihe 19866
Jianchi 21048
Puxi 18898
Wuxiang 24861
Jiuxian 15467
Puti 6682
Juting 3161
Taiyangling 9920
Yangpingguan 29487
Guangping 9225
Qingmuchuan 6648
Anlehe 8419
Lesuhe 6892
Baiquesi 7144
Baijie 22170
Qinhe 16724
Qingyun 15428
Guta 6660
Fangta 6379
Zhangtan 28079
Shiti 14976
Zhitian 24335
Qiupotou 22495
Yaotou 20610
Anli 23406
Chunlin 32259
Yangchun 13271
Hongchun 14193
Chengguan (Ziyang) 35496
Donghe 14609
Dadaohe 5396
Dao 8959

Fucheng 39593
Yangquan 23168
Zhangcunyi 10748
Zhiluo 8633
Luohe 13101
Taohe 5902
Bantao 7461
Jieling 5020
Fenggeling 10250
Tuoshi 12904
Huoshaodian 3070
Laodian 32346

Fuzhai 40299
Wuzhangyuan 28328

Yangping 42824
Tangping 5516
Chewu 7537
Tongchewan 5355
Meizi 2401
Ziwu 2169
Wu 22910
Yindou 16554
Yundou 12491
Lianghekou (Xixiang) 13058
Lianghekou (Lueyang) 4296
Wulongdong 4589
Hedongdian 25588
Qingqiaoyi 1947
Xinjiezi 21531

Xinji 39286
Xinjie 15679
Shuigou 18304
Cigou 18182
Zijing 7758
Zhongyuan 11898
Yeping 3962
Chaiping 21261
Taiping 27853

Zhongzhang 37112

Jiangzhang 76441
Shangzhu 3668
Liba 7744
Shuping 7744
Huaping 2701
Huapingzi 8879
Daping 13257
Tiechang 12368
Huilong 10464
Yungaisi 13079
Lingao 33014
Gaoyang 17997
Gaoya 4026
Gaoyao 11081
Zaoyang 22493

Ankang 281668
Maping (Ankang) 11385
Dahe (Ankang) 17066
Lianghe (Ankang) 8662
Raofeng 10586
Yingfeng 6940
Changfeng 8288
Shuangfeng 6977
