

Mosty u Jablunkova 3989

Sezimovo Usti 7420
Cimelice 1045
Libejovice 463
Selesovice 308
Raskovice 1771

Horazdovice 5727
Vrsovice 445
Bojanovice 377
Modrovice 58
Mirov 418
Zachlumi 737
Smilkov 268
Nadejkov 754
Kasejovice 1320
Trebichovice 522
Neplachov 353
Svepravice 118
Radovesice 426

Podebrady 13128
Nadejov 217
Radimovice 233
Malikovice 346
Vysovice 474
Krasova 254
Vranova Lhota 486
Kvasnovice 135
Lochovice 1085
Lipovice 180
Ceprovice 195
Sazovice 701
Vedrovice 816
Libosovice 426
Boskovstejn 146
Lestkov 353
Cakovicky 321
Vitejovice 436
Petrovice 1362
Bratkovice 278
Chanovice 696
Malesovice 390
Bohdalovice 276
Slezske Pavlovice 176
Cecovice 68
Hostalovice 134
Lavice 25
Planice 1649
Hnevnice 101
Vlceves 88
Ceska Kubice 596
Katusice 777
Horni Lukavice 357
Utechovice 78

Blovice 3901
Vrcovice 117
Trojovice 186
Kolesovice 825
Cerhovice 945
Krusovice 576
Cizkovice 1323
Krasovice 345

Bohusovice nad Ohri 2544
Bezdekov nad Metuji 503
Mezoun 422
Hvezdonice 319
Hermanice 229
Bratronice 777
Krejnice 65
Prelovice 192
Malsovice 747
Male Pritocno 227
Senomaty 914
Spomysl 430
Polepy 1178
Seletice 160
Kvetnice 146
Dzbanice 160
Stankovice 874
Bukovina 317
Krakovec 78
Velka Bukovina 405
Zvikovec 170
Blazkov 307
Krizinkov 192
Kovarska 1320

Komarov 2426

Nepomuk 3670
Kunetice 268
Nestrasovice 66
Praskolesy 808

Jilove u Prahy 3461
Chysky 1080
Horni Myslova 92
Tuchoraz 355
Tusovice 100
Radejovice 204
Zelkovice 77
Velke Tresne 126
Kelniky 176
Hacky 91
Slatinky 454
Jankov 903
Ludikov 289
Drachkov 152
Bukovnik 68
Myslkovice 350
Krelovice 362
Vapovice 50
Pracejovice 301
Vitkovice 395
Tesovice 255
Prisov 236
Strizov 173
Turice 230
Stribrna Skalice 935
Dobric 383
Sobehrdy 310
Dobromilice 817
Hobsovice 342
Nizkovice 670
Rehlovice 1129
Ketkovice 606
Zvanovice 331
Myslovice 108
Borenovice 178
Vrchotovy Janovice 884

Tovacov 2605
Ochoz u Tisnova 108
Kanovice 271
Zalkovice 563
Zeranovice 759
Komorany 672
Lomnicka 400
Pomezi 1031
Zimutice 577
Jimramov 1207
Razova 523
Valasske Prikazy 245
Paseka 1162
Veselice 99
Libetice 80
Vlastiborice 231
Vlksice 139
Pasinka 303
Novy Parezov 125
Jarosov nad Nezarkou 1067
Kdousov 109
Kratusin 54
Radonin 74
Krasne Udoli 451
Trhove Dusniky 399
Cervene Pecky 1617
Koupe 159
Olesko 90
Veseli 314
Sebirov 392
Vrbicany 314
Trebihost 392
