

Glasgow 591620
Nethy Bridge 660

Arbroath 23640
Brechin 7520
Aviemore 3150
Buckie 8430
Maryburgh 1180
Turriff 5060
Laurencekirk 2920
Kilcreggan 1290

Saint Andrews 16800
Portree 2410
Anstruther 3420
Eyemouth 3430
Douglas Water 100
Glenluce 600
Douglas 1560
Uyeasound 10
Hillhead 630
Quarrier's Village 750

Irvine 33740

Ayr 47190

Inverness 46870
Crossford 2350
Montrose 11880
East Linton 1700
Newtown St Boswells 1330
Galashiels 12660
Allanton 1266

Greenock 43690

Renfrew 22010

Elgin 22980
Inverurie 12760
Burghead 1930
Thurso 7760

Fraserburgh 13140
Castletown 840

Peterhead 18450
Auldearn 660
Maud 870
North Kessock 1000
Lossiemouth 7620
Newtonmore 1100
Tarbolton 1900
Bowmore 760
Redding 2540

Orkney 20100
Newmilns 2980
New Deer 660
Gardenstown 670
Mosstodloch 990
Boddam 1290
Balintore 1090
Banchory 7520
Brora 1290
Rosemarkie 660
Kingussie 1450
Tain 3690
Kingswells 4750
Haggs 660
Aberchirder 1250
Invergordon 4130
Bracorina 4
Saint Combs 660
Corrour 1
Gourock 10570
Giffnock 12070

Isle of Lewis 18500
Eaglesham 3150
Kyle 1
Isle of Eigg 67
Slamannan 1360
Stanley 1450
Evanton 1380
Aird Tong 487
Milton of Leys 1740
Boat of Garten 517
Ratho 1730
Keith 4740
Drumnadrochit 1130
Rothienorman 1060
Portlethen 8200
Portknockie 1270
Blackford 760
Broadford 760

Johnstone 16390
Houston 6420
Thornton 2110

Bonnyrigg 16360

Port Glasgow 15190

Troon 14680
Hatton 890

Forfar 13970
Killearn 1670
Saltcoats 12800
Ardrossan 10930
Annbank 890
Bellsbank 1350
Beith 6170
Westhill 11600
Strathmiglo 900
Patna 2190
Ochiltree 1080
Cults 3500
Coalburn 1200
Gourdon 750
Glassford 640
Crosshill 500
Stonehaven 11370
Charlestown of Aberlour 1120
Tarbert 1130
Portsoy 1730
Forres 9900
Stromness 1730
Saline 1100
Aboyne 2650
Newport-on-Tay 4203
Stranraer 10510
Isle of Cumbrae 1434
Carradale 497
Garelochhead 2110
Rosehearty 1320
Lochgilphead 2390
Bruichladdich 50
North Berwick 6650
Ellon 10100
Selkirk 5730
Kintore 4680
Stow 740
Scalloway 1100
Ardgay 496
Stornoway 7500
Kirkwall 7150
Alness 5700
Alyth 2410
Larbert 9530
Luncarty 1680
Tayport 3920
Whithorn 790
Letham 1650
Locharbriggs 5960
Bracara 10
Carfin 2510
Queensferry 8960
Torphins 1410
Annan 8920
Innerleithen 3040
Auchenstroan Free Peoples' Republic 10
Eastriggs 1850
Strathpeffer 1070
Peebles 8380
Tweedbank 2100
North Queensferry 1070
Thornhill 1610
Cumnock 8920
Lauder 1610
Linwood 8590
Shotts 8235
Monifieth 8210
Peterculter 4560
Fochabers 1690
Ecclefechan 850
Loans 730
Innellan 980
Ladybank 1530
Ballachulish 650
Liff 940
Methven 1200
Fenwick 1070
Lockerbie 4290
Kelso 5600
Melrose 2340
Macmerry 1350
Cardrona Mains 810
Dunoon 8160
Dundonald 2670
Cove 7060
Stepps 6730
Newarthill 6480
Newmains 5710
Strathkinness 610
Port Bannatyne 1200
Loanstone 50
Dirleton 496
Muirkirk 1540
Kinlochleven 900
Glenfarg 770
Plean 1920
Newtyle 730
Doune 1760
Newtonhill 3040
Newton Stewart 4010
Fort William 5830
Kirkhill 670
Ballindalloch 1
Culloden 4240
Beauly 1360
Fort Augustus 670
Mauchline 4130
Faichemard Farm 4
Tarves 1000
Johnshaven 670
Inveraray 570
Isle of Jura 188
Isle of Coll 164
Isle of North Uist 1271
Isle of Gigha 110
Isle of Iona 125
Isle of South Uist 1818
Muir of Ord 2620
Isle of Rum 22
Isle of Islay 3457
Isle Of Mull 2667
Isle of Canna 6
Sandbank 1380
Saint Cyrus 1060
Cruden Bay 1670
Cromarty 740
Crimond 860
Falkland 1110
Findochty 1180
Avoch 990
New Pitsligo 1150
Pitmedden 1420
Oldmeldrum 3230
Balmedie 2520
Fyvie 499
Dyce 5730
Friockheim 1010
Milltimber 2660
Mintlaw 2720
Insch 2320
Uddingston 5610
Chapelton 650
Kirkton of Largo 496
Milton 945
Newcastleton 770
Thankerton 510
Symington 1050
Longside 960
Lochmaben 2100
Dingwall 5520
Bridge of Allan 5000
Pencaitland 1480
Greenlaw 640
Langholm 2250
Jedburgh 3980
Campbeltown 4800
Dalrymple 1510
West Kilbride 4760
Dalbeattie 4260
Castle Douglas 4070
Macduff 4030
Halkirk 1020
Sanquhar 1980
Saint Boswells 1400
Port Erroll 1620
Strone 502
West Linton 1530
Ayton 560
Townhill 1220
Chirnside 1400
Denholm 650
Rigside 770
Munerigie 10
Kilmacolm 3980
Gretna 3040
Moffat 2550
Pathhead 960
Helmsdale 637
Torphichen 650
Ormiston 2040
Carmunnock 1250
Dunbeath 276
Inverbervie 2310
Quarter 750
Port William 466
Wigtown 900
Invergowrie 1770
Creetown 650
Inchture 1220
Strichen 940
Stromeferry 1
Portpatrick 620
Isle of Scalpay 322
Crossgates 2530
Newburgh 2060
Saint Fergus 750
Sandhaven 820
Langbank 910
Sandwick 1217
Findhorn 880
Portgordon 850
Morningside 650
Uplawmoor 560
Gifford 780
Longforgan 1210
Kinloss 1250
Fortrose 1400
Kingseat 770
Springfield 960
Coldstream 1870
Eaglesfield 680
Stuartfield 700
Windygates 1890
Rhu 1870
Whitehills 1140
Dailly 850
Mallaig 780
Conon Bridge 1710
Dufftown 1660
Limekilns 1400
Rothes 1230
Saint Monans 1230
Isle of Colonsay 108
Benbecula 1219
Aberlady 1180
Hillside 1170
Barra 1078
Lamlash 1030
Edzell 900
Symbister 797
Gargunnock 750
Garmouth 580
Brae 720
Dullatur 720
Killin 720
Tarland 720
Kyle of Lochalsh 650
Auchenblae 540
Cuminestown 540
Roybridge 1
