

Beixiang 33489
Miaoqian 28471
Xuedian 13612
Wadi 28357
Xipo 15755
Xiandi 33518

Shuozhou 410412
Hongdao 26760
Daying 17261

Yuanping 136792

Yangquan 293709
Zhuangmo 12233
Fenghuang 21067
Beizhouzhuang 21667
Beijiazao 18739
Weiyuan 8468
Shaquan 7421
Quyu 26119
Mafang 16652
Kangning 17826
Sanjing 6796
Yujing 11863
Xiping 27732
Yangmingbao 19840
Laoying 6524
Puming 20875

Xinzhou 370799
Xiyan 18426
Guoyang 30874
Pingxingguan 12053
Longquan (Xinzhou) 40562
Nanhezhong 38602
Dongzhai 17452
Wanjiazhai 7451
Caijiahui 9814
Sanjiao (Liulin) 11972
Xiaosuan 9310
Chengjiazhuang 12847

Luliang 283129
Liuhulan 37235
Malan 21056
Nan'an 34229
Wanghe 11123
Wangtao 9521
Gaoyang 40393
Yanwu 27352

Fenyang 77837

Yunzhong 169481
Dongxiaocun 10684
Bajiao 8776
Yuanbaozi 11837
Louziying 7207
Loufan 42520
Tuanshuitou 16687
Tuban 21710
Yangjiawan 7874
Yanmenguan 7863

Fancheng 76088
Nancun (Datong) 25710
Qicun 28318
Fengrun 5528
Yancheng 44962
Fenghuangcheng 5622
Taicheng 40145
Yijing (Jincheng) 42211
Shecheng 6546
Cecun 13184

Houma 162660
Senglou 50893

Yaofeng 86435

Gaoping 151539
Laodingshan 39336
Xiying (Changzhi) 10322
Fengzhou 49594
Gucheng 15861

Yong'an (Datong) 122851

Yishi 102090
Zhangying 30721
Changle 45114
Yangcheng 36554
Meiyang 26948

Guwei 91225
Peijie 49502
Sunji 54976
Taocun 24943
Kaolao 47634
Maojiawan 10832
Qiaoshang 9712

Jingping 101297
Nieying 11628
Niucun 19280
Daniudian 19398

Xiushui 93013
Tanshang 5811
Shagetuo 24233
Gucheng (Shuozhou) 18253
Gengzhen 14861
Shentou 29458
Xunzhen 15044
Lancheng 10736
Sancha 12861

Yufen 100615
Yudaohe 20799
Yukou 25530
Congluoyu 16790
Dongcun 59772
Gaojiacun 14011
Liujiata 9694
Wujiayao 8117
Daciyao 5849
Dabaideng 18869
Taihuai 11814
Zong'ai 11723
Dazhai 32104
Dayu 10959

Wenbi 74307
Yimen 15111
Echeng 56433

Yinying 70614
Qingcheng 7546
Qinquan 12599
Wangqiao 33594
Qinhe 50143
Heping 13853
Ganting 38347
Beiping 12394
Weicun 14364
Shicun 41197
Qinchi 15502
Shizhe 27643
Baichi 32499
Duanshi 29534
Sizhuang 42936

Yuquan 67449
Wangzhuangbao 17032
Dianwan 12779
Tianfengping 6337
Xinguan 54981
Fenglingdu 63518
Bagong 62157
Houbao 44360
Setou 19277
Liushukou 14951
Shihui 19162
Xihedi 17400
Baodian 22685
Bayi 23327
Dabaotou 36556
Lihou 56904
Cilin 33227
Liyi 28408
Shahe 60724
Gaoshan 13887
Maojiazao 12800
Lujiawan 12899
Wangguantun 20488
Mixinguan 17379
Limin 7925
Zaolin 18537
Youzai 9017
Yangfangkou 11605
Jiehekou 5371
Qikou 30009
Xuecun 15173
Xueguan 5175
Yueyang 35259
Jiezhou 57773
Puzhou 40817
Liucun 56850
Wucheng 10094
Wucun 23178
Quting 51800
Sanjiao (Lin) 51252
Liujiahui 29131
Liuyu 12606
Hexi 43539
Xihuo 24945
Gedong 43409
Yuxiang 43186
Ronghe 42855
Longju 34720
Dongzhang 33604
Kaizhang 38578
Chaijia 29071
Sudian 42732
Sanjia 22916
Jinmiaopu 19107
Lanyi 38431
Gaodu 37018
Beige 36394
Hekou 15161
Daiyue 35894
Yungang 19766
Hedi (Yuncheng) 35092
Kecheng 17148
Chencun 11150
Luocun 11656
Yuncu 16153
Shangcun 20742
Shuzhang 11057
Niudu 34970
Mucun 34914
Xinshui 34666
Dawu 34315
Mengmen 15825
Xiamen 11653
Tumen 29948
Baiwen 32251
Beiwudang 5846
Suohuang 31978
Macun 31569
Nanlou 31187
Doucun 26880
Dujiacun 12395
Nanwei 30615
Pingtan 30240
Baijing 19275
Yinlingzhi 8915
Niangziguan 16561
Dazhang 29498
Dawang 29237
Wangmao 10516
Xiadian 28829
Donghui 27735
Tongyu 9423
Yetou 12341
Ekou 27443
Zhoushizhuang 17620
Hebian 27363
Beitian 20250
Shitie 12294
Luowenzao 27042
Youwei 10017
Xiaohetou 4473
Qiaotou 17083
Zhihe 26218
Zhike 6861
Yuze 25992
Yuwu 18486
Lujiacun 24579
Gucheng (Yuncheng) 23525
Lucheng 14308
Danzi 23227
Hongshui 22508
Jinluo 21834
Xiashe 21781
Xifangcheng 13897
Ximo 21656
Pingtou 21273
Ciying 12595
