

Krukow 172
Alt Bukow 558
Bartenshagen-Parkentin 1279
Ravensberg 293

Mecklenburg 3088
Damshagen 944
Cramonshagen 556
Admannshagen-Bargeshagen 2855
Wattmannshagen 1062
Kochelstorf 393
Thurkow 478
Thulendorf 536
Bohlendorf 274
Hohendorf 954
Zolkow 698
Boldekow 648
Zarnekow 519
Bobitz 1274
Benitz 428
Langhagen 702
Kneese Dorf 352
Moraas 546

Seeheilbad Graal-Muritz 4242
Seebad Bansin 2465
Ostseebad Sellin 2358
Ostseebad Prerow 1728
Ostseebad Gohren 1280

Ostseebad Zinnowitz 3736
Bugewitz 335
Glasewitz 467
Glasow 179
Trantow 488

Burg Stargard 4780
Dargen 555
Molschow 878
Grischow 314
Retschow 1043

Ludersdorf 4764
Petersdorf 174
Alt Rehse 361
Carpin 1025
Blankenhof 748
Neuenkirchen 1248
Lutheran 337
Molln 604

Altentreptow 6486
Wulkenzin 1579
Warrenzin 461
Zarrendorf 1127
Sehlen 1002
Fuhlendorf 997
Bad Sulze 1938
Saal 1442
Jakobsdorf 521
Hoort 623
Boock 655
Neuendorf A 171
Murchin 930
Monkebude 808

Gadebusch 6030

Putbus 4803
Lubmin 1987
Lublow 684

Lubz 6355
Lubesse 789
Jessenitz 377
Zettemin 374
Neu Heinde 368
Neu Gulze 775
Gultz 669
Gross Miltzow 1285
Gross Roge 713
Woosmer 330
Gross Vielen 377
Gross Gievitz 557
Levitzow 232
Behren-Lubchin 673
Neukalen 2199
Lalendorf 2506
Utecht 375
Hinrichshagen 174
Kargow 744
Rechlin 2357
Viereck 1375
Recknitz 272
Silz 371
Polzow 262
Gohlen 423
Gohren 418
Hoppenrade 818
Penzin 168
Pinnow 1706
Zempin 925
Gager 415

Laage 4692
Brobberow 486
Wobbelin 987

Robel 5521
Bellin 295
Gallin 573
Sellin 2547
Mallin 443
Malliss 1427
Neu Kaliss 2128
Rastow 1618

Strasburg 6286

Loitz 4236
Penzlin 2532
Japenzin 220
Hiddensee 1094
Nadrensee 367
Meiersberg 479

Sternberg 4863
Bernitt 1890
Bernstorf 350
Jurgenstorf 966
Mollenstorf 274
Weitendorf 509
Wedendorf 307
Diestelow 543
Bantin 428
Borrentin 1089
Techentin 629
Sauzin 411
Gross Polzin 511
Gross Plasten 804
Gross Laasch 1096
Gross Luckow 238
Barnin 492
Marnitz 890
Karnin 261
Godendorf 241
Beidendorf 785
Heidhof 297
Seehof 1048
Passee 190

Wismar 45255
Bentwisch 2549
Bentzin 1031
Schonfeld 473
Golchen 323
Neverin 1179
Kieve 164
Drewelow 181
Mellenthin 264
Volschow 602
Gischow 322
Bargischow 426
Rubenow 493
Dersenow 499
Tessenow 731
Wredenhagen 536
Kuhlen 582
Kuhs 350

Ostseebad Kuhlungsborn 7453
Monchhagen 1097
Mollenhagen 1984
Wustrow 1312
Wustenfelde 408

Stralsund 58976
Thesenvitz 408
Breesen 590
Brenz 561
Picher 792
Verchen 446

Pampow 3037
Grabowhofe 1046
Lubow 1418
Plaaz 621
Plauerhagen 317
Ostseebad Dierhagen 1691

Lambrechtshagen 3016
Breechen 232
Breege 779
Upahl 825
Brahlstorf 771
Sulstorf 1011

Neustadt-Glewe 6952
Eldena 1432
Brunow 402
Hohenbrunzow 268
Horst 542
Beggerow 632
Woggersin 572
Glienke 134
Hohenmocker 347
Dambeck 353
Vorbeck 360
Godern 339
Demern 290
Potenitz 519
Morgenitz 245
Bandenitz 494
Luttow 413
Lubs 432
Varchentin 396
Vielank 714

Ludwigslust 12112
Lussow 997
Leussow 324
Zussow 1274
Lietzow 310
Luhburg 279
Marihn 297
Klein Upahl 281
Klein Vielen 783
Vipperow 433
Buchholz 152
Wilmshagen 331
Trinwillershagen 1418
Rovershagen 2483
Dolgen 813
Gross Wustenfelde 669
Basedow 811
Bastorf 1128
Glasin 912
Lassan 1462
Sassen 543
Deyelsdorf 623
Metelsdorf 470

Klutz 3229
Kluis 416
Altenpleen 1022
Altenkirchen 1138
Ostseebad Baabe 846
Gross Ernsthof 346
Gross Wokern 1163
Zahrensdorf 398
Luhmannsdorf 721
Jordenstorf 1213
Menzendorf 274
Mewegen 340
Beseritz 163
Uckeritz 989
Wackerow 1445
Severin 267
Greven 826
Gneven 439
Domsuhl 1194
Kittendorf 372

Crivitz 4970
Buschvitz 220
Pluschow 541
Zurow 1421
Alt Meteln 1179

Rehna 2897
Kalkhorst 1328

Elmenhorst 4273
Blumenholz 855
Werle 193
Alt Schwerin 590
Moltzow 359
Matgendorf 341
Warsow 718
Quitzerow 450
Gransebieth 704
Dranske 1527
Lancken-Granitz 392
Brunzow 708
Brunn 1261
Neetzka 288
Rothemuhl 348
Muhlen Eichsen 1083
Carlow 1268

Marlow 4881
Warlitz 468
Uelitz 481
Karstadt 657
Polz 418
Herzfeld 319
Krusenfelde 208
Altwigshagen 431
Altwarp 622
Bismark 303

Eggesin 5598

Tessin 4212
Papendorf 2514
Lupendorf 192
Krinitz 129
Hulseburg 171
Kratzeburg 537
Briggow 373
Westenbrugge 261
Schonhausen 319
Gross Krankow 737
Gross Kiesow 1585
Daberkow 436
Behrenhoff 631
Sanzkow 216
Dersekow 1132
Wendisch Baggendorf 595
Brandshagen 1315
Melz 420
Melkof 337
Eichhorst 568

Woldegk 4144
Schimm 295

Malchin 8202

Malchow 7384
Bobzin 324
Gross Niendorf 246
Biendorf 1051

Satow-Oberhagen 5895
Rakow 264
Krackow 618
Thandorf 180
Hohen Pritz 513
Schmarsow 214
Schmadebeck 221
Ludorf 498
Ludershagen 581
Reimershagen 526
Sarmstorf 535
Steesow 202
Nesow-Hof 258
Kriesow 371
Krien 849
Hohenbollentin 149
Mollenbeck 805
Pragsdorf 548
Schlagsdorf 1141
Klausdorf 659
Parchtitz 821
Langen Jarchow 320
