

Le Havre 185972
La Haye-du-Theil 269
Saint-Ouen-du-Tilleul 1487
Le Bec-Thomas 231
Massy 282
Russy 154

Vassy 1734
Saint-Martin-des-Besaces 1105
Menil-Hubert-en-Exmes 111

Le Theil-Bocage 1955
Le Theil-Nolent 194

Le Thuit-Signol 1873
Soignolles 73
Montviette 172
Saint-Mards 181
Ouilly-du-Houley 203
Ouilly-le-Vicomte 834
Vouilly 198
Sept-Vents 380
Monfreville 99
La Gonfriere 290
La Godefroy 158
Saint-Paer 1241
Lamberville 177
Saint-Vaast-en-Auge 85
Avesnes-en-Val 276
Fours-en-Vexin 154
Acon 435
Sebecourt 335
Ancourt 704
Rocquancourt 606
Auvillars 187
Fauville 336

Deauville 4677
Vauville 376
Houdetot 139
Colletot 114
Bois-Heroult 144
Voiscreville 107
Neuilly 126
Equilly 133
Saint-Pierre-Langers 404
Nonant-le-Pin 668
Fultot 185
Martot 453
Sainte-Marthe 475
Montaigu-les-Bois 212
Grigneuseville 335
Aignerville 129
La Vacquerie 259
Sacquenville 806
Lapenty 444
La Chapelle-Viel 247
Le Mele-sur-Sarthe 798
Saint-Julien-sur-Sarthe 612
Saint-Julien-de-la-Liegue 256
Saint-Jean-de-Livet 243
Saint-Jean-de-la-Neuville 486
Saint-Jean-de-Folleville 761
Saint-Jean-de-Savigny 287
Saint-Vigor 284
Saint-Valery 40
Saint-Fraimbault 692
Saint-Paul 575
Saint-Pois 549
Poilley 689
Le Reculey 209
Precey 345
Croisy-sur-Eure 246
Vaux-sur-Eure 250
La Madeleine-Bouvet 383
La Baleine 124
Prepotin 99

Epouville 3047
Gouville 589
Touville 134
Brectouville 160
Rouville 525

La Bonneville-sur-Iton 2311
Caillouet-Orgeville 407

Ezy-sur-Eure 3248
Sainte-Genevieve-les-Gasny 732

Gisors 12363

Pontorson 4147
Esson 356
Viessoix 694
Nesle-Hodeng 320
Bosgouet 580
Verrieres 426
Les Moitiers-en-Bauptois 298
Gathemo 285
Mathonville 176
Berthenonville 223
Venon 288

Saint-Nicolas-d'Aliermont 4045
Saint-Nicolas-des-Laitiers 85
Saint-Nicolas-de-Sommaire 272
Garencieres 522
Thieville 295
Authieux-Ratieville 348
Hondouville 758
Male 776
Emalleville 541
Saint-Aquilin-de-Pacy 561
Croth 1329
Crouttes 262
Gouttieres 185
Authevernes 378
Authou 337
Autheuil 127
Le Bourg-Saint-Leonard 388
Saint-Manvieu-Bocage 537
Preaux-Bocage 116
Le Theil 576
Le Thuit 106
Thuit-Hebert 306
Familly 125
Ecoqueneauville 69
Coquainvilliers 810

Trouville-sur-Mer 5751

Merville-Franceville-Plage 1592
Vierville 52
Thierville 230
Bierville 266
Vignats 237
Les Thilliers-en-Vexin 521
Doudeauville-en-Vexin 245
Gamaches-en-Vexin 345
Le Plessis-Grohan 711

La Couture-Boussey 2069
Autheuil-Authouillet 808
Saint-Etienne-du-Vauvray 724
Saint-Vaast-du-Val 309
Saint-Maurice-du-Desert 695
Lenault 153
Le Chefresne 283
Fresne-le-Plan 517
Fresnay-le-Samson 110
La Fresnaye-au-Sauvage 194
La Haye-Aubree 269

La Haye-du-Puits 1810
Graignes-Mesnil-Angot 675
Montfiquet 98

Villers-Bocage 3025
Occagnes 546
Quessigny 93
Berigny 377
Saint-Hilaire-de-Briouze 269

Saint-Hilaire-du-Harcouet 4846
Le Mesnil-Caussois 111
Saussemesnil 937
Branville-Hague 109
Reigneville-Bocage 28
Bricquebosq 454
Bosquentin 71
Mouflaines 116
Saint-Marcouf 106
Geffosses 409
Le Bo 110
Eroudeville 249
Mandeville 247
Montreuil-l'Argille 794
Reuilly 525
Neuilly-la-Foret 467
Bezu-la-Foret 198
Bezu-Saint-Eloi 1225

Aubevoye 4030

Pacy-sur-Eure 5201
Tracy-sur-Mer 311

Isigny-sur-Mer 3137
Fontaine-en-Bray 157
Fontaine-Bellenger 853
Pont-Bellanger 90
La Houssaye-Beranger 507
Essay 509
Saussay-la-Campagne 441
Gauville-la-Campagne 568
Berengeville-la-Campagne 272
Amfreville-la-Campagne 913
Ecaquelon 454
Manthelon 286
Hieville 268
Thietreville 400
Thiergeville 298
Authie 1034

Demouville 3238
Bully 1175
Tilly-sur-Seulles 1311
Saint-Louet-sur-Seulles 176
Le Thuit-Simer 371
Le Thil 320
Ouilly-le-Tesson 519
Villers-en-Vexin 300
Granchain 237
Planches 205
Canchy 195
Buchy 1267
Buceels 369
Ceauce 1279
Ronfeugerai 334
Heugon 184
Gonneville-en-Auge 371
Croissanville 346

Herouville-Saint-Clair 24258
Maltot 703
Malloue 29

Saint-Lo 21722
Campeaux 523

Preaux 1673
Saint-Nicolas-des-Bois 242
Norrey-en-Auge 80
Ligneres 34
Chaignes 270
Les Authieux-sur-Calonne 301
La Ferriere-Harang 295
Grandvilliers 350

Montivilliers 16706
Iville 423
Irreville 357
Chevreville 204
Theville 248
Rocheville 574
Brucheville 148
Le Mesnil-au-Grain 59
Le Mesnil-Auzouf 263
Mieuxce 601
Reux 265
Mosles 264
Beaussault 376
La Chapelle-Bayvel 224
La Chapelle-sur-Dun 213
La Chapelle-Biche 460
La Chapelle-Saint-Ouen 74
Saint-Andre-de-Bohon 270
Mandres 357
Mercey 48
Haleine 270
Echalou 316
Magny-le-Desert 1308
Le Menil-Brout 184
Le Menil-Guyon 88
Anglesqueville-la-Bras-Long 134
Saint-Cyr 185
Saint-Martin-du-Bec 671
Plomb 372
Colombieres 237

Saint-Pair-sur-Mer 3741
Blainville-sur-Mer 1350
Sainteny 801
Sainte-Foy 462
Tesse-la-Madeleine 1302
Landisacq 768
Acqueville 672
Rauville-la-Place 440
Lalacelle 271
Baromesnil 246
Smermesnil 480
Aubermesnil-Beaumais 425
Le Mesnil-Benoist 47
Le Torpt 283
Le Tilleul 599

Agon-Coutainville 2826
Grainville 504
Heudebouville 743
Sassey 196
Basseneville 273
Touffreville 306
Amfreville 1198
Reville 1194
Virandeville 789
Irai 463
Saint-Gilles-des-Marais 92
Hecourt 313
Quievrecourt 436
Saint-Jean-de-la-Riviere 287
Saint-Jean-de-la-Haize 410
Toussaint 699

La Saussaye 2058
Saussey 521
Neuville-pres-Sees 139

Beuville 2311
Crulai 805
Rocquefort 275
Saint-Vincent-Cramesnil 511
Saint-Crespin 286
Pont-Ecrepin 1032
Saint-Germain-sur-Eaulne 243
Saint-Germain-des-Vaux 416
Crosville-la-Vieille 511
Freneuse-sur-Risle 357
Grosley-sur-Risle 523
Avoine 239
Faverolles 141
Bertreville 96
Villiers-sous-Mortagne 313

Mortagne-au-Perche 4893
Sainte-Ceronne-les-Mortagne 260
Sainte-Honorine-la-Chardonne 678
Saint-Quentin-les-Chardonnets 286
Cleuville 120
Morgny-la-Pommeraye 909
Goustranville 194
Cordebugle 96
Le Sacq 250
Gandelain 386
Menil-Froger 65
Plumetot 247
Benarville 203
La Chapelle-Haute-Grue 31
Villers-Canivet 525
Canisy 963

Canon 4926

Ifs 9617
Gouvix 852
Esquay-Notre-Dame 942
Barbery 554

Cagny 1653
Martragny 342

Flers 17430
Estry 352
Banneville-sur-Ajon 410
Saint-Hilaire-Petitville 1417
Avenay 423
Authenay 310
Lorleau 146
Le Loreur 182
Mortree 1091
Saint-Agnan-sur-Sarthe 104
Montmerrei 386
Monteille 169
Saint-Nicolas-de-Bliquetuit 508
Saint-Nicolas-du-Bosc 266
Neauphe-sous-Essai 204
Saint-Brice-sous-Ranes 157
Saint-Senier-sous-Avranches 1051
Bion 452
Glos-sur-Risle 435
La Croix-Avranchin 437
Crosville-sur-Scie 250
Saint-Denis-sur-Scie 399
Saint-Aubin-le-Cauf 778

Saint-Saens 2613

Mont-Saint-Aignan 23078
Bourg-Beaudouin 706

Les Andelys 9655
Acquigny 1544
Blacqueville 548
Longvillers 341
Longueil 527
Champs 104
Larchamp 303
Le Teilleul 1422
Vaudry 1559
Audrieu 825
Rieux 653
Serqueux 1016
Les Perques 164

Les Pieux 3413
Brieux 94
Camembert 200
Cambremer 1165
Cambernon 711
Saint-Lambert 209
Honguemare-Guenouville 650
Henouville 1247
