

Rantauprapat 103009
Pematangsiantar 209614
Padangsidempuan 100561

Medan 1750971
Bandar 31442
Sibolga 79714
Singkil 46800
Tongging 16000
Senggigi 5000
Berastagi 44765
Stabat 26862
Tanjungtiram 25118
Pototano 5000
Dumai 143760
Padangbai 1000
Simpang 36652

Padang 840352
Solok 48372
Sijunjung 27786
Sungai Penuh 95913
Pemenang 1000
Tanjung Pinang 192493
Bejubang Dua 7957

Jambi City 420323
Pancur Biru Lestari II 1000
Pariaman 92183
Bukittinggi 98746
Lubuklinggau 148243
Curup 46245
Baturaja 134759
Lahat 65906
Mendaha 56268
Muntok 26709
Pagar Alam 70386

Bengkulu 309712
Payakumbuh 121572

Pekanbaru 703956
Kijang 41344
Sabang 24519

Banda Aceh 250757
Sigli 17504
Reuleuet 40393
Bireun 25793
Meulaboh 35062
Lhokseumawe 88974
Lasem 28948
Blora 51811
Bojonegoro 86568
Babat 27038
Tuban 76242
Tual 39502
Bitung 225134
Ternate 101731
Sofifi 36197
Insrom 3452
Biak 4537
Nabire 43898
Abepura 62248
Jayapura 134895

Tasikmalaya 271143
Tayu 26413

Samarinda 355160
Sampit 66053
Kutoarjo 31352
Mamuju 15000
