

Dahongqi 23420
Liuhegou 22977
Liuhezi 17727

Huazi 49045
Xidayao 23203
Daye 21352
Jianye 26767
Wanyuandian 11933
Xiaochengzi (Chaoyang) 16101
Xiaochengzi (Shenyang) 17027
Erniusuokou 19164
Zhangqiang 22265
Zhangxiang 17933
Changxing 22099
Changxingdian 21916
Liaotun 34771
Zhaotun 26209
Gaotun 18428

Xiaotun 42778
Luodatai 27462
Luoluobao 21780
Boluochi 16929
Zhongsanjia 13798
Sanjiazi 14835
Shimiaozi 15377
Paozi 27271
Zhoutuozi 13409
Daliutun 26946
Gongzhutun 36849
Laohutun 24091
Delisi 19396
Xisi 27210
Guchengzi 18784
Jiucaitai 13490

Wenxiang 46312

Benxi 1252007
Zhenxing 13385
Zhenxibao 25069
Fengbeibao 14844
Dagujiazi 19749
Dagujia 16332
Daguben 21564
Jianshe 24194

Anshan 2562120
Datun (Anshan) 35098
Shahe (Anshan) 10360
Gushan (Anshan) 21061
Daniu 22964
Niuxintuo 17050
Xinmintun 15755
Yangjiabao 11942
Zhangjiabao 23637
Zhangjiayingzi 12125
Xiaotang 16043
Shenjing 14099
Yushulinzi 26572
Zhuluke 18790

Huludao 621995
Bajiazi (Huludao) 12148
Datun (Huludao) 16045
Shahe (Huludao) 30578
Huangdi 24031
Fuxingdi 15767
Taiping (Fuxin) 10236
Bajiazi (Fuxin) 11754
Qijiazi (Fuxin) 12222
Sihe (Fuxin) 30832
Daban (Fuxin) 11319
Shuiquan (Fuxin) 17505
Shuiquan (Chaoyang) 13307

Chaoyang 768911
Yangshuwan 7288

Wangshi 43461
Mafeng 31243
Ximafeng 33440
Ximu 35743
Xietun 22457
Laohetu 17743
Hengdaohezi 11575
Sandaohezi 14993
Sanshijiazi 33915
Bei'ershijiazi 11160
Machang 12422
Changlong 13532
Heishui 20005
Shishan 30911
Qingyishan 11956
Shicheng 17831

Fengcheng 199062
Qingchengzi 26439

Xingcheng 180311
Hongyazi 27962
Hongyanhe 15711
Yangyun 25145

Xiongyue 97477
Dixiongshan 13757
Daxing (Dandong) 7995

Dandong 647681
Dongtang 19526
Yangmuchuan 11052
Hushan 11238
Zhizhushan 18756
Hexi 14680
Wulongba 9801
Wulongbei 28977
Jinshan 37772
Tongxing 19486
Tangchi (Dandong) 24195
Anmin (Dandong) 12081

Qianyang (Dandong) 63871
Shizijie (Dandong) 27678
Shizijie (Yingkou) 26844
Wanfu 37283
Wangfu 22271
Changfa 11961
Houyao 13936
Gouyan 31766
Shifo 19485
Xifo 26860
Huandong 13676

Gushan (Dandong) 64608
Pusamiao 24186
Damiao 17003
Gushanzi 16926
Bianzhangzi 17174
Zhaoduba 20109
Ganzhao 10982
Xinglongzhuang 13272
Linglongta 17640

Jianchang 63192
Biancheng 20668

Lunan 49367

Nantai 61342

Yuantai 38804
Juliangtun 19446
Wawo 19446
Wolongquan 17720
Kuangdonggou 22011
Chengdong 14771
Laocheng 34505
Toudao 18033

Baoli 38363
Simiancheng 18818

Bamiancheng 56550
Qujiadian 27145
Maojiadian 31433
Gaojiadian 24934
Lianhua 12249
Lianhe 18658
Zhaoquanhe 9450
Maoqi 20437

Haicheng 401932

Bali 41533

Dalian 4845700
Wangjia (Dalian) 5109
Heidao 30522
Heigou 12941
Suzigou 12546
Weizigou 15161
Dongliujiazi 14163
Xiliujiazi 15286
Wufeng 17444
Fengjia 14553
Dade 8467
Hada 18461
Hadabei 27815
Shihuiyao 19895
Cuiyan 15426
Wendilou Manzu 18142
Youwei Manzu 16796
Haladaokou 12347
Kalaqin 17021
Talagao 19190
Shagang 20571

Gaizhou 309913
Gaotaizi (Jinzhou) 22981
Qianyang (Jinzhou) 22114
Xinxing (Jinzhou) 14742
Zhangdang 21965
Xinnong 14619
Xinnongcun 11501
Yemaotai 21060
Xiushuihezi 28946
Liushu 18962
Qingshiling 26087
