

Getigne 3326
Tigne 770
Nouans 261
Bonnoeuvre 548
Saint-Longis 489
Saint-Leonard-des-Bois 517
Juvigne 1405
Saint-Pierre-des-Landes 985
Saint-Pierre-la-Cour 1711
Saint-Pierre-le-Vieux 940
Saint-Pierre-de-Cheville 362
Vern-d'Anjou 2071
Petit-Auverne 383
Montjean 833
Mont-Saint-Jean 639
Saint-Jean-sur-Erve 445
Saint-Jean-sur-Mayenne 1256
Martigne-sur-Mayenne 1370

Mayenne 15583
Loigne-sur-Mayenne 742
Villepail 195
Villepot 689
Louerre 401
Querre 255
Connerre 2719
Cherre 1448
Cherreau 764

La Ferte-Bernard 10201
Nogent-le-Bernard 903
Louvaines 464
Saint-Aubin-Fosse-Louvain 270
Asse-le-Riboul 474
Lasse 261
Gesvres 564
Chaix 407
Chaille-les-Marais 1707
Vouille-les-Marais 567
Champagne-les-Marais 1412
Puyravault 564
Sainte-Radegonde-des-Noyers 779
Sainte-Hermine 2435
Sainte-Gemme-la-Plaine 1928

Sainte-Gemmes-sur-Loire 4157
Juigne-sur-Loire 2412
Saint-Saturnin-sur-Loire 1273
Saint-Mathurin-sur-Loire 2356
La Menitre 2020
Menil 827
Chenille-Change 135
Montreuil-le-Chetif 304
Auvers-sous-Montfaucon 195
Saint-Martin-des-Monts 159
Saint-Martin-des-Noyers 2148
Saint-Poix 398
Saint-Paterne 1651
Arconnay 2166
Marcon 1027
Chahaignes 787
Lhomme 938
Flee 578
Saint-Biez-en-Belin 587
Saint-Ouen-en-Belin 1269
Laigne-en-Belin 2043
Monce-en-Belin 2586
Saint-Gervais-en-Belin 1835
Teloche 2786

Mulsanne 4787
Bannes 125
Pirmil 399
Saint-Victeur 304
Saint-Viaud 1992
Saint-Vincent-sur-Jard 922
Saint-Vincent-sur-Graon 1127
Montmirail 486
Pontmain 941
Pontigne 263
Puy-de-Serre 344
Saint-Remy-de-Sille 830
Vieuvy 125
Mallievre 242
Nalliers 2012
Saint-Martin-sous-Mouzeuil 1175
Saint-Martin-de-Fraigneau 887
Xanton-Chassenon 703
Chasse 165
Saint-Vincent-Sterlanges 647
Les Cerqueux-sous-Passavant 469
Passavant-sur-Layon 144
Courchamps 453
Larchamp 1068
Chammes 338
Courgains 543
Courgenard 481
Bouille-Menard 683
Fontaine-Milon 371
Le Givre 358
Cheix-en-Retz 573
Berus 383
Bethon 293
Alexain 421
Artannes-sur-Thouet 421
Gennes-sur-Glaize 827
Gennes 2138
Genneteil 306
Fontenay-sur-Vegre 306
Asnieres-sur-Vegre 391
Saint-Sulpice-des-Landes 651
Souvigne-sur-Meme 179
Souvigne-sur-Sarthe 550
Saint-Germain-sur-Sarthe 446
Saint-Germain-de-Coulamer 410
Arquenay 533
Saint-Mars-de-Locquenay 453
Saint-Aubin-de-Locquenay 681
Fresnay-sur-Sarthe 2443
Beaumont-sur-Sarthe 2080
Sainte-Jamme-sur-Sarthe 1742
Neuville-sur-Sarthe 2286
La Guierche 951
Les Verchers-sur-Layon 868
Nueil-sur-Layon 1395
Concourson-sur-Layon 580
Saint-Georges-sur-Layon 630
Saint-Georges-sur-Erve 361
Rouesse-Vasse 763
Bouessay 597
Bessay 387
Lairoux 568
Le Girouard 678
Le Coudray-Macouard 932
Saint-Cyr-en-Bourg 1140
Saint-Cyr-en-Pail 458
Pre-en-Pail 2129
Saint-Mars-sur-Colmont 458
Chatillon-sur-Colmont 986
Dissay-sous-Courcillon 950
Courcite 1042
Courdemanche 629
Cordemais 2747
Bouee 713
Bouer 186
Saint-Vincent-du-Lorouer 900
Saint-Laurent-des-Autels 1590
Saint-Laurent-des-Mortiers 198
Briosne-les-Sables 371
Marolles-les-Saint-Calais 270
Chatelain 423
Chatelais 616

Chateau-Gontier 12292
Aze 3336
Hambers 569
Champgeneteux 582
Gene 274
Geneston 2217
Montbert 2481

Montaigu 5070
Saint-Georges-de-Montaigu 3598
La Boissiere-de-Montaigu 1683
La Boissiere 119
Cornille-les-Caves 470
Pouille-les-Coteaux 761
Longnes 274
Chavagnes 821
Montsoreau 579
Faymoreau 285
Villemoisan 519
Cheville 349
Pizieux 97
Treffieux 675
Dreffeac 1452
Cheffes 874
Cheffois 892
La Croixille 569
La Cropte 251
Meslay-du-Maine 2685
Chalons-du-Maine 450
Saint-Denis-du-Payre 364
Saint-Charles-la-Foret 197
Saint-Ouen-en-Champagne 197
Domfront-en-Champagne 985
Yzernay 1565
Bernay-en-Champagne 644
Ruille-en-Champagne 307
Cosse-en-Champagne 295
Crannes-en-Champagne 295
Chantrigne 618
Maigne 366
La Fosse-de-Tigne 195
Nieul-le-Dolent 1981
Verneil-le-Chetif 662
Bleves 105
Villeveque 2751
Vieillevigne 3529
Landevieille 851
Landeronde 1946
Beaulieu-sous-la-Roche 1843

Aizenay 6531
La Chapelle-Palluau 735
Palluau 710
La Pallu 182
Mee 182
Neuilly-le-Vendin 378
Saint-Hilaire-le-Vouhis 860
Saint-Calais-du-Desert 334

Saint-Calais 4121
Montaille 540
La Chapelle-Huon 620
La Chapelle-Hullin 148
La Chapelle-sur-Oudon 510
Les Ulmes 510
Oulmes 727
Velluire 545
Le Gue-de-Velluire 518
La Taillee 468
Maille 739
La Rabateliere 739
La Regrippiere 1167
Saint-Jean-de-la-Croix 251

Saint-Jean-de-Monts 7414
Notre-Dame-de-Monts 1627
La Barre-de-Monts 1922

Saint-Hilaire-de-Riez 9358
Notre-Dame-de-Riez 1771
Noyant-la-Gravoyere 1771
Noyant-la-Plaine 193
Noyant 1975
Auverse 411
Auvers-le-Hamon 1445
Solesmes 1325
Couesmes-Vauce 399
Rahay 232
Neuvillalais 452
Grez-Neuville 1383
Grez-en-Bouere 994
Bouere 925
Bierne 678

Ernee 6127
Colombiers-du-Plessis 543
Fougerolles-du-Plessis 1646
Carelles 338
Villaines-la-Carelle 178
Liez 239
La Pellerine 312

Le Pellerin 4147

Saint-Jean-de-Boiseau 4906
Saint-Jean-de-Beugne 449
Parcay-les-Pins 1069
Brette-les-Pins 1618
Sarge-les-le-Mans 3656

Le Mans 144515
Etival-les-le-Mans 2044
Voivres-les-le-Mans 892
Roeze-sur-Sarthe 2626

La Suze-sur-Sarthe 3767
Chemire-le-Gaudin 941
Louplande 1247
Cande 2755
Bournezeau 2755
Bourneau 673
Serigne 1010

Murs-Erigne 5384
Origne 294
Thorigne-sur-Due 1561
Thorigny 933
Theligny 184
Saligny 1264
Belleville-sur-Vie 3200

Le Poire-sur-Vie 6273
Dompierre-sur-Yon 3443

La Roche-sur-Yon 59410
La Roche-Blanche 929
La Rouxiere 893
Belligne 1690
Ligne 3222
Mouzeil 1306
Teille 1407
La Meilleraye-de-Bretagne 1113
Fay-de-Bretagne 2687

Vigneux-de-Bretagne 5095
Le Temple-de-Bretagne 1665

La Montagne 6012

Indre 3897

Saint-Herblain 46898
Saint-Herblon 1950
Saint-Gereon 2727

Ancenis 7840
Vance 344
Chenay 130
Chenu 452
Chenehutte-Treves-Cunault 1164
Saint-Rigomer-des-Bois 494
Saint-Gildas-des-Bois 3239
Saint-Nicolas-de-Redon 3055
Sainte-Reine-de-Bretagne 1829

Montoir-de-Bretagne 6762
Le Pin 649
Le Pin-en-Mauges 1237
Chaudron-en-Mauges 1497
Botz-en-Mauges 712
Angrie 712
Congrier 1087
Laubrieres 266
Desertines 563

Saint-Mars-du-Desert 4002
Petit-Mars 2629
Les Touches 2111

Nort-sur-Erdre 6461

Suce-sur-Erdre 6335

La Chapelle-sur-Erdre 18481

Carquefou 18056

Sainte-Luce-sur-Loire 13056

Thouare-sur-Loire 7172
Mauves-sur-Loire 2579
Le Cellier 3596
La Flocelliere 2001
Les Chatelliers-Chateaumur 731
Reaumur 799

Saumur 33229
Souzay-Champigny 718
Champigne 1710
Chateauneuf-sur-Sarthe 2651
Brissarthe 564
Brissac-Quince 2531
Vauchretien 1534
La Gaubretiere 2689
Mesnard-la-Barotiere 967
Saint-Mars-la-Briere 2447
Fatines 652

Coulaines 7912
Soulaines-sur-Aubance 1249
Saint-Melaine-sur-Aubance 2052
Charce-Saint-Ellier-sur-Aubance 662
Maisoncelles-du-Maine 416

Jumelles 7328
Corpe 786
Ecorpain 349
Verrie 410
La Verrie 3613
Saint-Martin-des-Tilleuls 879
Saint-Aubin-des-Ormeaux 1232
Saint-Aubin-des-Chateaux 1411

Chateaubriant 13024
Chateauneuf 683

Pontchateau 8474
Besne 2212
Gesnes 182
Aubigne-sur-Layon 353
Saint-Martin-du-Bois 727
Saint-Martin-du-Limet 465
Le Buret 267
Le Bignon 2793
Le Bignon-du-Maine 329
Saint-Denis-du-Maine 423
Saint-Germain-le-Guillaume 423
Sille-le-Guillaume 2747
Souge-le-Ganelon 845
Gesnes-le-Gandelin 778
Saosnes 197
Avesnes-en-Saosnois 117
Behuard 117
Nauvay 20

Bonnetable 4198
Moulins-le-Carbonnel 693
Bretignolles-le-Moulin 222
Rennes-en-Grenouilles 110
Le Fenouiller 3430

Saint-Gilles-Croix-de-Vie 7280
Givrand 1400
Bretignolles-sur-Mer 3293

Olonne-sur-Mer 11157

Chateau-d'Olonne 13420

Les Sables-d'Olonne 16105
