

Oklahoma City 681054

Del City 21822

Fort Towson 492
Fort Gibson 3814
Forest Park 1049
Elm Grove 192
Ingalls 192
Stuart 192
Hartshorne 1947
Chelsea 1991
Ochelata 427
Christie 427

Bristow 4248
Briartown 185
Cleora 1220
Leon 74
Gideon 229
Leonard 262
Edgewater Park 262
Calvin 309

Alva 5028
Valliant 819
Taylor Ferry 819
Elohim City 45

Elk City 11561
May 29
Maysville 1087
Bison 56
River Bottom 248
Olive 110
Paoli 583
Pink 2091
Swink 65
Lyons Switch 518
Little City 136
Empire City 703
Custer City 367

Idabel 6961
Lone Wolf 373

Lone Grove 4993
Pickett 774
Wanette 279
Arnett 495
Moffett 38
Finley 38
Quinlan 28
Langley 606
Spencer 3978
Okarche 1141
Apache 1034
Cache 2930

Lawton 90381
Lawtonka Acres 187
Tonkawa 3015
Tonkawa Tribal Housing 310
Carnegie 1430
Old Green 310
Greenville 167
West Peavine 167
Peavine 372
Avard 11
Cardin 3
Nardin 43
Narcissa 92
Fox 92
Box 153
Boley 1091

Seminole 7146

Holdenville 5934
Okemah 3074
Stroud 2719
Armstrong 113
Strong City 33
Rocky Ford 283
Red Rock 245
Byron 37
Tyrone 729
Baron 243
Sharon 133
Shamrock 65
Iron Post 65
Spiro 2102
Muldrow 3272
Gould 103
Orlando 130
Marland 184
Fairland 1106
Ninnekah 775
Hennepin 143
Hennessey 2151
Jones 2885

Choctaw 12182
Nicoma Park 2313
Arkoma 1806
Bokchito 574
Bokoshe 396
Asher 370
Wynona 370
Wynnewood 1927
New Eucha 400
Old Eucha 23
Elmer 65
Velma 554
Selman 12
Lamar 118
Maramec 66
Braman 160
Panama 1269
Brushy 811
Quapaw 811
Pawnee 1936
Westville 1364
Snyder 1301
Crowder 306
Cromwell 238
Grandview 1321
Redbird Smith 526
Medford 932
Mannford 3262
Francis 244
Chance 215
Millerton 215
Cooperton 3
Pershing 42

Cushing 8327
Drumright 2560
Wright City 616
Badger Lee 63
Deer Lick 34
Mehan 34
Scraper 202
Carney 545
Reagan 67
Hardesty 205
Bearden 135
Verden 508
Turpin 442
Turley 2607
Burlington 124
Grand Lake Towne 80
Bessie 182
Silo 384
Simms 261
Bache 105
Sportmans Shores 239
Sportsmen Acres 317
Porter 561
Westport 448
Carrier 90
Nescatunga 90
Caney 185
Disney 222
Piney 101
Oak Hill-Piney 191
Phillips 122
Sams Corner 132
Coyle 350
Spavinaw 350
Sparks 122
Clarksville 17
Stidham 17
Hastings 104
White Eagle 520
Ratliff City 64
Zeb 520
Krebs 2083
Kremlin 247
Kinta 285
Liberty (Tulsa County) 153
Gerty 92
Dougherty 199
Hough 20
Quay 39
Wann 95
Connerville 59
Wardville 53
New Woodville 60
Moyers 60
Boynton 161
Breckenridge 199
Caney Ridge 120
Toppers 911
Watts 227
Mead 227
Homestead 41
Johnson Prairie 94
Whitesboro 172
Clearview 41
Fairview 2740
Helena 1537
Lenapah 272
Arapaho 668
Wapanucka 386
Waurika 1837
Glencoe 499
Minco 1500

Chickasha 16051
Hickory 86
Kildare 86
Tenkiller 390
Tamaha 152
Oktaha 343
Bee 135
Bunch 70

Duncan 22692
Central High 1181
Centrahoma 81
Hoffman 81
Roff 632
Braggs 270
Briggs 1028

Kingfisher 4903
Kingston 1431
Stonewall 414
Ralston 266
Locust Grove 1371
Oak Grove 22
Hopeton 22
Pettit 829
Dickson 1331
Cookson 826
Loveland 13
Ashland 35
Sumner 35
Sugden 22
Paden 419
Dennis 221
Rock Island 717
Roland 3316
Oakland 831
New Cordell 2775
Kaw City 325
Marble City 186
Longdale 186
Redbird 89
Frederick 3468
Erick 1000
Kendrick 87
Hendrix 61
Headrick 74
Milfay 74
Cave Spring 74

Sand Springs 19874

Jenks 25949

Bixby 28609
IXL 59
Byars 184
Scipio 53
Hoot Owl 0
Knowles 6
Bowlegs 357
Indiahoma 275
Evening Shade 378
Drowning Creek 174
Big Cabin 174
Freedom 174
Leedey 415
