

La Ronge 2688
Pilger 65
MacNutt 65
Scott 73
Major 35
Golden Prairie 30
Duff 30
Richmound 147
Eastend 503
Climax 195
Flaxcombe 124
Maryfield 348
Dysart 200
Plunkett 60
